Time,Congestion Window
0.109,1000
0.218,2000
0.226,3000
0.327,4000
0.335,5000
0.343,6000
0.351,7000
0.436,8000
0.444,9000
0.452,10000
0.46,11000
0.468,12000
0.476,13000
0.484,14000
0.492,15000
0.545,16000
0.553,17000
0.561,18000
0.569,19000
0.577,20000
0.585,21000
0.593,22000
0.601,23000
0.609,24000
0.617,25000
0.625,26000
0.633,27000
0.641,28000
0.649,29000
0.657,30000
0.665,31000
0.673,32000
0.681,33000
0.689,34000
0.697,35000
0.705,36000
0.713,37000
0.721,38000
0.729,39000
0.737,40000
0.745,41000
0.753,42000
0.761,43000
0.769,44000
0.777,45000
0.785,46000
0.793,47000
0.801,48000
0.809,49000
0.817,50000
0.825,51000
0.833,52000
0.841,53000
0.849,54000
0.857,55000
0.865,56000
0.873,57000
0.881,58000
0.889,59000
0.897,60000
0.905,61000
0.913,62000
0.921,63000
0.929,64000
0.937,65000
0.945,66000
0.953,67000
0.961,68000
0.969,69000
0.977,70000
0.985,71000
0.993,72000
1.001,73000
1.009,74000
1.017,75000
1.025,76000
1.033,77000
1.041,78000
1.049,79000
1.057,80000
1.065,81000
1.073,82000
1.081,83000
1.089,84000
1.097,85000
1.105,86000
1.113,87000
1.121,88000
1.129,89000
1.137,90000
1.145,91000
1.153,91000
1.161,91000
1.169,1000
1.177,1000
1.185,1000
1.193,1000
1.201,1000
1.209,1000
1.217,1000
1.225,1000
1.233,1000
1.241,1000
1.249,1000
1.257,1000
1.265,1000
1.273,1000
1.281,1000
1.289,1000
1.297,1000
1.305,1000
1.313,1000
1.321,1000
1.329,1000
1.337,1000
1.345,1000
1.353,1000
1.361,1000
1.369,1000
1.377,1000
1.385,1000
1.393,1000
1.401,1000
1.409,1000
1.417,1000
1.425,1000
1.433,1000
1.441,1000
1.449,1000
1.457,1000
1.465,1000
1.473,1000
1.481,1000
1.489,1000
1.497,1000
1.505,1000
1.513,1000
1.521,1000
1.529,1000
1.537,1000
1.545,1000
1.553,1000
1.561,1000
1.569,1000
1.577,1000
1.585,1000
1.593,1000
1.601,1000
1.609,1000
1.617,1000
1.625,1000
1.633,1000
1.641,1000
1.649,1000
1.657,1000
1.665,1000
1.673,1000
1.681,1000
1.689,1000
1.697,1000
1.705,1000
1.713,1000
1.721,1000
1.729,1000
1.737,1000
1.745,1000
1.753,1000
1.761,1000
1.769,1000
1.777,1000
1.785,1000
1.793,1000
1.801,1000
1.809,1000
1.817,1000
1.825,1000
1.833,1000
1.841,1000
1.849,1000
1.857,1000
1.865,1000
1.974,2000
1.982,3000
2.083,4000
2.091,5000
2.099,6000
2.107,7000
2.192,8000
2.2,9000
2.208,10000
2.216,11000
2.224,12000
2.232,13000
2.24,14000
2.248,15000
2.301,16000
2.309,17000
2.317,18000
2.325,19000
2.333,20000
2.341,21000
2.349,22000
2.357,23000
2.365,24000
2.373,25000
2.381,26000
2.389,27000
2.397,28000
2.405,29000
2.413,30000
2.421,31000
2.429,32000
2.437,33000
2.445,34000
2.453,35000
2.461,36000
2.469,37000
2.477,38000
2.485,39000
2.493,40000
2.501,41000
2.509,42000
2.517,43000
2.525,44000
2.533,45000
2.541,45000
2.549,45000
2.557,45000
2.565,45000
2.573,45000
2.581,45000
2.589,45000
2.597,45000
2.605,45000
2.613,45000
2.621,45000
2.629,45000
2.637,45000
2.645,45000
2.653,45000
2.661,45000
2.669,45000
2.677,45000
2.685,45000
2.693,45000
2.701,45000
2.709,45000
2.717,45000
2.725,45000
2.733,45000
2.741,45000
2.749,45000
2.757,45000
2.765,45000
2.773,45000
2.781,45000
2.789,45000
2.797,45000
2.805,45000
2.813,45000
2.821,45000
2.829,45000
2.837,45000
2.845,45000
2.853,45000
2.861,45000
2.869,45000
2.877,45000
2.885,45000
2.893,45000
2.901,46000
2.909,46000
2.917,46000
2.925,46000
2.933,46000
2.941,46000
2.949,46000
2.957,46000
2.965,46000
2.973,46000
2.981,46000
2.989,46000
2.997,46000
3.005,46000
3.013,46000
3.021,46000
