Time,Queue Size,Event
0.109,1,size
0.117,0,size
0.218,1,size
0.226,0,size
0.226,1,size
0.226,2,size
0.234,1,size
0.242,0,size
0.327,1,size
0.335,0,size
0.335,1,size
0.335,2,size
0.343,1,size
0.343,2,size
0.343,3,size
0.351,2,size
0.351,3,size
0.351,4,size
0.359,3,size
0.367,2,size
0.375,1,size
0.383,0,size
0.436,1,size
0.444,0,size
0.444,1,size
0.444,2,size
0.452,1,size
0.452,2,size
0.452,3,size
0.46,2,size
0.46,3,size
0.46,4,size
0.468,3,size
0.468,4,size
0.468,5,size
0.476,4,size
0.476,5,size
0.476,6,size
0.484,5,size
0.484,6,size
0.484,7,size
0.492,6,size
0.492,7,size
0.492,8,size
0.5,7,size
0.508,6,size
0.516,5,size
0.524,4,size
0.532,3,size
0.54,2,size
0.545,3,size
0.545,4,size
0.548,3,size
0.553,4,size
0.553,5,size
0.556,4,size
0.561,5,size
0.561,6,size
0.564,5,size
0.569,6,size
0.569,7,size
0.572,6,size
0.577,7,size
0.577,8,size
0.58,7,size
0.585,8,size
0.585,9,size
0.588,8,size
0.593,9,size
0.593,10,size
0.596,9,size
0.601,10,size
0.601,11,size
0.604,10,size
0.609,11,size
0.609,12,size
0.612,11,size
0.617,12,size
0.617,13,size
0.62,12,size
0.625,13,size
0.625,14,size
0.628,13,size
0.633,14,size
0.633,15,size
0.636,14,size
0.641,15,size
0.641,16,size
0.644,15,size
0.649,16,size
0.649,17,size
0.652,16,size
0.657,17,size
0.657,18,size
0.66,17,size
0.665,18,size
0.665,19,size
0.668,18,size
0.673,19,size
0.673,20,size
0.676,19,size
0.681,20,size
0.681,21,size
0.684,20,size
0.689,21,size
0.689,22,size
0.692,21,size
0.697,22,size
0.697,23,size
0.7,22,size
0.705,23,size
0.705,24,size
0.708,23,size
0.713,24,size
0.713,25,size
0.716,24,size
0.721,25,size
0.721,26,size
0.724,25,size
0.729,26,size
0.729,27,size
0.732,26,size
0.737,27,size
0.737,28,size
0.74,27,size
0.745,28,size
0.745,29,size
0.748,28,size
0.753,29,size
0.753,30,size
0.756,29,size
0.761,30,size
0.761,31,size
0.764,30,size
0.769,31,size
0.769,32,size
0.772,31,size
0.777,32,size
0.78,31,size
0.785,32,size
0.785,33,size
0.788,32,size
0.793,33,size
0.793,34,size
0.796,33,size
0.801,34,size
0.801,35,size
0.804,34,size
0.809,35,size
0.809,36,size
0.812,35,size
0.817,36,size
0.817,37,size
0.82,36,size
0.825,37,size
0.825,38,size
0.828,37,size
0.833,38,size
0.833,39,size
0.836,38,size
0.841,39,size
0.841,40,size
0.844,39,size
0.849,40,size
0.849,41,size
0.852,40,size
0.857,41,size
0.857,42,size
0.86,41,size
0.865,42,size
0.865,43,size
0.868,42,size
0.873,43,size
0.873,44,size
0.876,43,size
0.881,44,size
0.881,45,size
0.884,44,size
0.889,45,size
0.889,46,size
0.892,45,size
0.897,46,size
0.897,47,size
0.9,46,size
0.905,47,size
0.905,48,size
0.908,47,size
0.913,48,size
0.913,49,size
0.916,48,size
0.921,49,size
0.921,50,size
0.924,49,size
0.929,50,size
0.929,51,size
0.932,50,size
0.937,51,size
0.937,52,size
0.94,51,size
0.945,52,size
0.945,53,size
0.948,52,size
0.953,53,size
0.953,54,size
0.956,53,size
0.961,54,size
0.961,55,size
0.964,54,size
0.969,55,size
0.969,56,size
0.972,55,size
0.977,56,size
0.977,57,size
0.98,56,size
0.985,57,size
0.985,58,size
0.988,57,size
0.993,58,size
0.993,59,size
0.996,58,size
1.001,59,size
1.001,60,size
1.004,59,size
1.009,60,size
1.009,61,size
1.012,60,size
1.017,61,size
1.017,62,size
1.02,61,size
1.025,62,size
1.025,63,size
1.028,62,size
1.033,63,size
1.033,64,size
1.036,63,size
1.041,64,size
1.041,65,size
1.044,64,size
1.049,65,size
1.049,66,size
1.052,65,size
1.057,66,size
1.057,67,size
1.06,66,size
1.065,67,size
1.065,68,size
1.068,67,size
1.073,68,size
1.073,69,size
1.076,68,size
1.081,69,size
1.081,70,size
1.084,69,size
1.089,70,size
1.089,71,size
1.092,70,size
1.097,71,size
1.097,72,size
1.1,71,size
1.105,72,size
1.105,73,size
1.108,72,size
1.113,73,size
1.113,74,size
1.116,73,size
1.121,74,size
1.121,75,size
1.124,74,size
1.129,75,size
1.129,76,size
1.132,75,size
1.137,76,size
1.137,77,size
1.14,76,size
1.148,75,size
1.156,74,size
1.161,75,size
1.164,74,size
1.172,73,size
1.18,72,size
1.188,71,size
1.196,70,size
1.204,69,size
1.212,68,size
1.22,67,size
1.228,66,size
1.236,65,size
1.244,64,size
1.252,63,size
1.26,62,size
1.268,61,size
1.276,60,size
1.284,59,size
1.292,58,size
1.3,57,size
1.308,56,size
1.316,55,size
1.324,54,size
1.332,53,size
1.34,52,size
1.348,51,size
1.356,50,size
1.364,49,size
1.372,48,size
1.38,47,size
1.388,46,size
1.396,45,size
1.404,44,size
1.412,43,size
1.42,42,size
1.428,41,size
1.436,40,size
1.444,39,size
1.452,38,size
1.46,37,size
1.468,36,size
1.476,35,size
1.484,34,size
1.492,33,size
1.5,32,size
1.508,31,size
1.516,30,size
1.524,29,size
1.532,28,size
1.54,27,size
1.548,26,size
1.556,25,size
1.564,24,size
1.572,23,size
1.58,22,size
1.588,21,size
1.596,20,size
1.604,19,size
1.612,18,size
1.62,17,size
1.628,16,size
1.636,15,size
1.644,14,size
1.652,13,size
1.66,12,size
1.668,11,size
1.676,10,size
1.684,9,size
1.692,8,size
1.7,7,size
1.708,6,size
1.716,5,size
1.724,4,size
1.732,3,size
1.74,2,size
1.748,1,size
1.756,0,size
1.865,1,size
1.873,0,size
1.974,1,size
1.982,0,size
1.982,1,size
1.982,2,size
1.99,1,size
1.998,0,size
2.083,1,size
2.091,0,size
2.091,1,size
2.091,2,size
2.099,1,size
2.099,2,size
2.099,3,size
2.107,2,size
2.107,3,size
2.107,4,size
2.115,3,size
2.123,2,size
2.131,1,size
2.139,0,size
2.192,1,size
2.2,0,size
2.2,1,size
2.2,2,size
2.208,1,size
2.208,2,size
2.208,3,size
2.216,2,size
2.216,3,size
2.216,4,size
2.224,3,size
2.224,4,size
2.224,5,size
2.232,4,size
2.232,5,size
2.232,6,size
2.24,5,size
2.24,6,size
2.24,7,size
2.248,6,size
2.248,7,size
2.248,8,size
2.256,7,size
2.264,6,size
2.272,5,size
2.28,4,size
2.288,3,size
2.296,2,size
2.301,3,size
2.301,4,size
2.304,3,size
2.309,4,size
2.309,5,size
2.312,4,size
2.317,5,size
2.317,6,size
2.32,5,size
2.325,6,size
2.325,7,size
2.328,6,size
2.333,7,size
2.333,8,size
2.336,7,size
2.341,8,size
2.341,9,size
2.344,8,size
2.349,9,size
2.349,10,size
2.352,9,size
2.357,10,size
2.357,11,size
2.36,10,size
2.365,11,size
2.365,12,size
2.368,11,size
2.373,12,size
2.373,13,size
2.376,12,size
2.381,13,size
2.381,14,size
2.384,13,size
2.389,14,size
2.389,15,size
2.392,14,size
2.397,15,size
2.397,16,size
2.4,15,size
2.405,16,size
2.405,17,size
2.408,16,size
2.413,17,size
2.413,18,size
2.416,17,size
2.421,18,size
2.421,19,size
2.424,18,size
2.429,19,size
2.429,20,size
2.432,19,size
2.437,20,size
2.437,21,size
2.44,20,size
2.445,21,size
2.445,22,size
2.448,21,size
2.453,22,size
2.453,23,size
