Time,Sequence Number,Event
0,0,send
0,0,transmit
0.109,0,ack
0.109,1000,send
0.109,2000,send
0.109,1000,transmit
0.117,2000,transmit
0.218,1000,ack
0.218,3000,send
0.218,4000,send
0.218,3000,transmit
0.226,4000,transmit
0.226,2000,ack
0.226,5000,send
0.226,6000,send
0.234,5000,transmit
0.242,6000,transmit
0.327,3000,ack
0.327,7000,send
0.327,8000,send
0.327,7000,transmit
0.335,8000,transmit
0.335,4000,ack
0.335,9000,send
0.335,10000,send
0.343,9000,transmit
0.343,5000,ack
0.343,11000,send
0.343,12000,send
0.351,10000,transmit
0.351,6000,ack
0.351,13000,send
0.351,14000,send
0.359,11000,transmit
0.367,12000,transmit
0.375,13000,transmit
0.383,14000,transmit
0.436,7000,ack
0.436,15000,send
0.436,16000,send
0.436,15000,transmit
0.444,16000,transmit
0.444,8000,ack
0.444,17000,send
0.444,18000,send
0.452,17000,transmit
0.452,9000,ack
0.452,19000,send
0.452,20000,send
0.46,18000,transmit
0.46,10000,ack
0.46,21000,send
0.46,22000,send
0.468,19000,transmit
0.468,11000,ack
0.468,23000,send
0.468,24000,send
0.476,20000,transmit
0.476,12000,ack
0.476,25000,send
0.476,26000,send
0.484,21000,transmit
0.484,13000,ack
0.484,27000,send
0.484,28000,send
0.492,22000,transmit
0.492,14000,ack
0.492,29000,send
0.492,30000,send
0.5,23000,transmit
0.508,24000,transmit
0.516,25000,transmit
0.524,26000,transmit
0.532,27000,transmit
0.54,28000,transmit
0.545,15000,ack
0.545,31000,send
0.545,32000,send
0.548,29000,transmit
0.553,16000,ack
0.553,33000,send
0.553,34000,send
0.556,30000,transmit
0.561,17000,ack
0.561,35000,send
0.561,36000,send
0.564,31000,transmit
0.569,18000,ack
0.569,37000,send
0.569,38000,send
0.572,32000,transmit
0.577,19000,ack
0.577,39000,send
0.577,40000,send
0.58,33000,transmit
0.585,20000,ack
0.585,41000,send
0.585,42000,send
0.588,34000,transmit
0.593,21000,ack
0.593,43000,send
0.593,44000,send
0.596,35000,transmit
0.601,22000,ack
0.601,45000,send
0.601,46000,send
0.604,36000,transmit
0.609,23000,ack
0.609,47000,send
0.609,48000,send
0.612,37000,transmit
0.617,24000,ack
0.617,49000,send
0.617,50000,send
0.62,38000,transmit
0.625,25000,ack
0.625,51000,send
0.625,52000,send
0.628,39000,transmit
0.633,26000,ack
0.633,53000,send
0.633,54000,send
0.636,40000,transmit
0.641,27000,ack
0.641,55000,send
0.641,56000,send
0.644,41000,transmit
0.649,28000,ack
0.649,57000,send
0.649,58000,send
0.652,42000,transmit
0.657,29000,ack
0.657,59000,send
0.657,60000,send
0.66,43000,transmit
0.665,30000,ack
0.665,61000,send
0.665,62000,send
0.668,44000,transmit
0.673,31000,ack
0.673,63000,send
0.673,64000,send
0.676,45000,transmit
0.681,32000,ack
0.681,65000,send
0.681,66000,send
0.684,46000,transmit
0.689,33000,ack
0.689,67000,send
0.689,68000,send
0.692,47000,transmit
0.697,34000,ack
0.697,69000,send
0.697,70000,send
0.7,48000,transmit
0.705,35000,ack
0.705,71000,send
0.705,72000,send
0.708,49000,transmit
0.713,36000,ack
0.713,73000,send
0.713,74000,send
0.716,50000,transmit
0.721,37000,ack
0.721,75000,send
0.721,76000,send
0.724,51000,transmit
0.729,38000,ack
0.729,77000,send
0.729,78000,send
0.732,52000,transmit
0.737,39000,ack
0.737,79000,send
0.737,80000,send
0.74,53000,transmit
0.745,40000,ack
0.745,81000,send
0.745,82000,send
0.748,54000,transmit
0.753,41000,ack
0.753,83000,send
0.753,84000,send
0.756,55000,transmit
0.761,42000,ack
0.761,85000,send
0.761,86000,send
0.764,56000,transmit
0.769,43000,ack
0.769,87000,send
0.769,88000,send
0.772,57000,transmit
0.777,44000,ack
0.777,89000,send
0.777,90000,drop
0.78,58000,transmit
0.785,45000,ack
0.785,91000,send
0.785,92000,send
0.788,59000,transmit
0.793,46000,ack
0.793,93000,send
0.793,94000,send
0.796,60000,transmit
0.801,47000,ack
0.801,95000,send
0.801,96000,send
0.804,61000,transmit
0.809,48000,ack
0.809,97000,send
0.809,98000,send
0.812,62000,transmit
0.817,49000,ack
0.817,99000,send
0.817,100000,send
0.82,63000,transmit
0.825,50000,ack
0.825,101000,send
0.825,102000,send
0.828,64000,transmit
0.833,51000,ack
0.833,103000,send
0.833,104000,send
0.836,65000,transmit
0.841,52000,ack
0.841,105000,send
0.841,106000,send
0.844,66000,transmit
0.849,53000,ack
0.849,107000,send
0.849,108000,send
0.852,67000,transmit
0.857,54000,ack
0.857,109000,send
0.857,110000,send
0.86,68000,transmit
0.865,55000,ack
0.865,111000,send
0.865,112000,send
0.868,69000,transmit
0.873,56000,ack
0.873,113000,send
0.873,114000,send
0.876,70000,transmit
0.881,57000,ack
0.881,115000,send
0.881,116000,send
0.884,71000,transmit
0.889,58000,ack
0.889,117000,send
0.889,118000,send
0.892,72000,transmit
0.897,59000,ack
0.897,119000,send
0.897,120000,send
0.9,73000,transmit
0.905,60000,ack
0.905,121000,send
0.905,122000,send
0.908,74000,transmit
0.913,61000,ack
0.913,123000,send
0.913,124000,send
0.916,75000,transmit
0.921,62000,ack
0.921,125000,send
0.921,126000,send
0.924,76000,transmit
0.929,63000,ack
0.929,127000,send
0.929,128000,send
0.932,77000,transmit
0.937,64000,ack
0.937,129000,send
0.937,130000,send
0.94,78000,transmit
0.945,65000,ack
